id,codigo,nome_social,nome_resumido,cnpj,situacao_ativa,codigo_isin
34829,AALR,ALLIANCA SAUDE E PARTICIPACOES S A,ALLIAR,42771949000135.0,True,BRAALRACNOR6
34862,ABCB,BCO ABC BRASIL SA,ABCBRASIL08Y,28195667000106.0,True,BRABCBACNPR4
34883,ABEV,AMBEV S A,AMBEVSA09J,7526557000100.0,True,BRABEVACNOR1
34914,AIRB,AIRBNB INC,AIRBNB INC,,True,BRABNBACNOR4
34932,ABRE,ABRIL EDUCACAO SA,ABRILEDUC0AW,2541982000154.0,False,BRABREACNOR9
34968,ABYA,ABYARA PLANEJAMENTO IMOBILIARIO SA,ABYARA0BW,7794351000160.0,True,BRABYAACNOR3
35024,ACES,ARCELORMITTAL INOX BRASIL SA,AMINOXBR0DG,33390170000189.0,True,BRACESACNOR5
35024,ACES,ARCELORMITTAL INOX BRASIL SA,AMINOXBR0DG,33390170000189.0,True,BRACESACNPR2
35038,ACGU,ACUCAR GUARANI SA,GUARANI0DU,47080619000117.0,True,BRACGUACNOR6
35209,ADHM,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA SA,ADVANCEDD0IL,10345009000198.0,True,BRADHMACNOR9
35299,AEDU,ANHANGUERA EDUCACIONAL PARTICIPACOES SA,ANHANGUER0L3,4310392000146.0,True,BRAEDUACNOR9
35323,AELP,AES ELPA SA,AESELPA0LR,1917705000130.0,True,BRAELPACNOR2
95924,AERI,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S A,AERISENERGIA,12528708000107.0,True,BRAERIACNOR4
101053,AESB,AES BRASIL ENERGIA S A,AES BRASIL,37663076000107.0,True,BRAESBACNOR7
35332,AESL,RGE SUL DISTRIBUIDORA ENERGIA SA,AESSUL0M0,2016440000162.0,True,BRAESLACNOR6
35332,AESL,RGE SUL DISTRIBUIDORA ENERGIA SA,AESSUL0M0,2016440000162.0,True,BRAESLACNPR3
35393,AFLT,AFLUENTE TRANSMISSAO ENERGIA ELETRICA SA,AFLUENTET0NP,10338320000100.0,True,BRAFLTACNOR1
35394,AFLU,AFLUENTE GERACAO ENERGIA ELETRICA SA,AFLUENTE0NQ,7620094000140.0,True,BRAFLUACNOR9
35394,AFLU,AFLUENTE GERACAO ENERGIA ELETRICA SA,AFLUENTE0NQ,7620094000140.0,True,BRAFLUACNPA2
35502,AGEI,AGRE EMPREENDIMENTOS IMOBILIARIOS SA,AGREEMPIM0QQ,11040082000114.0,True,BRAGEIACNOR7
35540,AGIN,AGRA EMPREENDIMENTOS IMOBILIARIOS SA,AGRAINCOR0RS,7698047000110.0,True,BRAGINACNOR8
35625,AGRA,AGRALE SA,AGRALE0U5,88610324000192.0,True,BRAGRAACNPR3
35635,AGRO,BRASILAGRO CIA BRAS PROPRIEDADES AGRICOLAS,BRASILAGR0UF,7628528000159.0,True,BRAGROACNOR7
99939,AGXY,AGROGALAXY PARTICIPACOES S A,AGROGALXY,21240146000184.0,True,BRAGXYACNOR4
35700,AHEB,SAO PAULO TURISMO SA,SPTURIS0W8,62002886000160.0,True,BRAHEBACNOR0
35700,AHEB,SAO PAULO TURISMO SA,SPTURIS0W8,62002886000160.0,True,BRAHEBACNPA3
35700,AHEB,SAO PAULO TURISMO SA,SPTURIS0W8,62002886000160.0,True,BRAHEBACNPB1
35813,ALBA,DANA ALBARUS SA IND COM,ALBARUS0ZD,92758085000190.0,True,BRALBAACNOR0
35951,ALLD,ALLIED TECNOLOGIA SA,ALLIEDTEC137,20247322000147.0,True,BRALLDACNOR3
35955,ALLL,RUMO SA,ALLAMERLA13B,2387241000160.0,False,BRALLLACNOR6
35955,ALLL,RUMO SA,ALLAMERLA13B,2387241000160.0,False,BRALLLACNPR3
64117,ALOS,ALLOS S A,ALLOS SA,5878397000132.0,True,BRALOSACNOR5
36019,ALPA,ALPARGATAS SA,ALPARGATA153,61079117000105.0,True,BRALPAACNOR0
36019,ALPA,ALPARGATAS SA,ALPARGATA153,61079117000105.0,True,BRALPAACNPR7
36024,ALPK,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS SA,ALLPARKEM158,60537263000166.0,True,BRALPKACNOR9
36046,ALSC,ALIANSCE SHOPPING CENTERS SA,ALIANSCE15U,6082980000103.0,True,BRALSCACNOR0
64117,ALOS,ALLOS S A,ALLOS SA,5878397000132.0,True,BRALSOACNOR5
36073,ALUP,ALUPAR INVESTIMENTO S A,ALUPAR16L,8364948000138.0,True,BRALUPACNOR8
36073,ALUP,ALUPAR INVESTIMENTO S A,ALUPAR16L,8364948000138.0,True,BRALUPACNPR5
36105,AMAR,MARISA LOJAS SA,MARISALOJ17H,61189288000189.0,True,BRAMARACNOR4
81882,AMBP,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S A,AMBIPARPART,12648266000124.0,True,BRAMBPACNOR6
36126,AMBV,CIA BEBIDAS AMERICAS AMBEV,AMBEV182,2808708000107.0,True,BRAMBVACNOR4
36126,AMBV,CIA BEBIDAS AMERICAS AMBEV,AMBEV182,2808708000107.0,True,BRAMBVACNPR1
36133,AMCE,AMERICEL SA,AMERICEL189,1685903000116.0,True,BRAMCEACNOR8
40197,AMER,AMERICANAS S A,AMERICANAS,776574000156.0,True,BRAMERACNOR6
36176,AMIL,AMIL PARTICIPACOES SA,AMILPARTI19G,36461242000120.0,True,BRAMILACNOR0
36186,AMLC,AMELCO SA IND ELETRONICA,AMELCO19Q,57009078000194.0,True,BRAMLCACNPR0
146170,AMOB,AUTOMOB PARTICIPACOES S A,AUTOMOB,35654688000108.0,True,BRAMOBACNOR9
36206,AMPI,AMPLA INVESTS SERVICOS SA,AMPLAINVE1AA,7809905000156.0,True,BRAMPIACNOR1
36224,AMRI,GEODEX COMMUNICATIONS BRASIL SA EX CONVEXX COMMUNICATIONS BRASIL SA,GEODEX1AS,2808710000178.0,True,BRAMRIACNPD4
36314,ANDG,ANDRADE GUTIERREZ CONCESSOES SA,AGCONCESS1DA,3601314000138.0,True,BRANDGACNOR9
36314,ANDG,ANDRADE GUTIERREZ CONCESSOES SA,AGCONCESS1DA,3601314000138.0,True,BRANDGACNPR6
36353,ANIM,ANIMA HOLDING SA,ANIMA1ED,9288252000132.0,True,BRANIMACNOR6
36412,AORE,ALL ORE MINERACAO SA,ALLORE1G0,,False,BRAOREACNOR2
39752,APER,ALPER CONSULTORIA E CORRETORA DE SEGUROS S A,ALPERSEGUROS,11721921000160.0,True,BRAPERACNOR9
