id,codigo,nome_social,nome_resumido,cnpj,situacao_ativa,codigo_isin
34829,AALR,ALLIANCA SAUDE E PARTICIPACOES S A,ALLIAR,42.771.949/0001-35,True,BRAALRACNOR6
34862,ABCB,BCO ABC BRASIL SA,ABCBRASIL08Y,28.195.667/0001-06,True,BRABCBACNPR4
34883,ABEV,AMBEV S A,AMBEVSA09J,07.526.557/0001-00,True,BRABEVACNOR1
34932,ABRE,ABRIL EDUCACAO SA,ABRILEDUC0AW,02.541.982/0001-54,False,BRABREACNOR9
34968,ABYA,ABYARA PLANEJAMENTO IMOBILIARIO SA,ABYARA0BW,07.794.351/0001-60,True,BRABYAACNOR3
35024,ACES,ARCELORMITTAL INOX BRASIL SA,AMINOXBR0DG,33.390.170/0001-89,True,BRACESACNOR5
35024,ACES,ARCELORMITTAL INOX BRASIL SA,AMINOXBR0DG,33.390.170/0001-89,True,BRACESACNPR2
35038,ACGU,ACUCAR GUARANI SA,GUARANI0DU,47.080.619/0001-17,True,BRACGUACNOR6
35209,ADHM,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA SA,ADVANCEDD0IL,10.345.009/0001-98,True,BRADHMACNOR9
35299,AEDU,ANHANGUERA EDUCACIONAL PARTICIPACOES SA,ANHANGUER0L3,04.310.392/0001-46,True,BRAEDUACNOR9
35323,AELP,AES ELPA SA,AESELPA0LR,01.917.705/0001-30,True,BRAELPACNOR2
95924,AERI,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S A,AERISENERGIA,12.528.708/0001-07,True,BRAERIACNOR4
101053,AESB,AES BRASIL ENERGIA S A,AES BRASIL,37.663.076/0001-07,True,BRAESBACNOR7
35332,AESL,RGE SUL DISTRIBUIDORA ENERGIA SA,AESSUL0M0,02.016.440/0001-62,True,BRAESLACNOR6
35332,AESL,RGE SUL DISTRIBUIDORA ENERGIA SA,AESSUL0M0,02.016.440/0001-62,True,BRAESLACNPR3
35393,AFLT,AFLUENTE TRANSMISSAO ENERGIA ELETRICA SA,AFLUENTET0NP,10.338.320/0001-00,True,BRAFLTACNOR1
35394,AFLU,AFLUENTE GERACAO ENERGIA ELETRICA SA,AFLUENTE0NQ,07.620.094/0001-40,True,BRAFLUACNOR9
35394,AFLU,AFLUENTE GERACAO ENERGIA ELETRICA SA,AFLUENTE0NQ,07.620.094/0001-40,True,BRAFLUACNPA2
35502,AGEI,AGRE EMPREENDIMENTOS IMOBILIARIOS SA,AGREEMPIM0QQ,11.040.082/0001-14,True,BRAGEIACNOR7
35540,AGIN,AGRA EMPREENDIMENTOS IMOBILIARIOS SA,AGRAINCOR0RS,07.698.047/0001-10,True,BRAGINACNOR8
35625,AGRA,AGRALE SA,AGRALE0U5,88.610.324/0001-92,True,BRAGRAACNPR3
35635,AGRO,BRASILAGRO CIA BRAS PROPRIEDADES AGRICOLAS,BRASILAGR0UF,07.628.528/0001-59,True,BRAGROACNOR7
99939,AGXY,AGROGALAXY PARTICIPACOES S A,AGROGALXY,21.240.146/0001-84,True,BRAGXYACNOR4
35700,AHEB,SAO PAULO TURISMO SA,SPTURIS0W8,62.002.886/0001-60,True,BRAHEBACNOR0
35700,AHEB,SAO PAULO TURISMO SA,SPTURIS0W8,62.002.886/0001-60,True,BRAHEBACNPA3
35700,AHEB,SAO PAULO TURISMO SA,SPTURIS0W8,62.002.886/0001-60,True,BRAHEBACNPB1
35813,ALBA,DANA ALBARUS SA IND COM,ALBARUS0ZD,92.758.085/0001-90,True,BRALBAACNOR0
35951,ALLD,ALLIED TECNOLOGIA SA,ALLIEDTEC137,20.247.322/0001-47,True,BRALLDACNOR3
35955,ALLL,RUMO SA,ALLAMERLA13B,02.387.241/0001-60,False,BRALLLACNOR6
35955,ALLL,RUMO SA,ALLAMERLA13B,02.387.241/0001-60,False,BRALLLACNPR3
64117,ALOS,ALLOS S A,ALLOS SA,05.878.397/0001-32,True,BRALOSACNOR5
