id_ticker,ticker_recente,id_empresa
1,AALR3,463
2,ABCB4,383
3,ABEV3,180
4,ABYA3,189
5,ACES3,432
6,ACES4,432
7,ACGU3,475
8,ADHM3,247
9,AEDU3,141
10,AELP3,39
11,AERI3,276
12,AESB3,452
13,AESL3,43
14,AESL4,43
15,AFLT3,246
16,AFLU3,182
17,AFLU5,182
18,AGEI3,257
19,AGIN3,186
20,AGRA4,693
21,AGRO3,183
22,AGXY3,357
23,AHEB3,619
24,AHEB5,619
25,AHEB6,619
26,ALBA3,730
27,ALLD3,353
28,ALOS3,159
29,ALPA3,570
30,ALPA4,570
31,ALPK3,535
32,ALSC3,163
33,ALUP3,207
34,ALUP4,207
35,AMAR3,591
36,AMBP3,277
37,AMBV3,100
38,AMBV4,100
39,AMCE3,35
40,AMER3,16
41,AMIL3,451
42,AMLC4,506
43,AMOB3,450
44,AMPI3,190
45,AMRI8,101
46,ANDGB,124
47,ANIM3,235
48,APER3,265
49,APTI4,589
50,ARCE3,369
51,ARCZ3,457
52,ARCZ5,457
53,ARCZ6,457
54,ARLA3,715
55,ARLA4,715
56,ARML3,11
57,ARPS3,656
58,ARTE3,660
59,ARTE4,660
60,ARTR3,106
61,ASAI3,162
62,ASSM3,625
63,ASSM4,625
64,ASTA4,300
65,ATED3,366
66,ATEL4,478
67,ATMP3,134
68,AURE3,384
69,AUTM3,515
70,AVIL3,544
71,AVIL4,544
72,AVLL3,321
73,AZEV3,597
74,AZEV4,597
75,AZUL4,238
76,AZZA3,317
77,B3SA3,239
78,BAAM3,144
79,BAAM4,144
80,BALM3,599
81,BALM4,599
82,BARB3,385
83,BARB4,385
84,BASU3,596
85,BASU5,596
86,BASU6,596
87,BAUH4,743
88,BAZA3,151
89,BBAS3,1
90,BBAS4,1
91,BBCM3,568
92,BBCM4,568
93,BBDC3,547
94,BBDC4,547
95,BBSE3,342
96,BDEP3,256
97,BDLL3,550
98,BDLL4,550
99,BEBA5,307
100,BEBA6,307
101,BECE3,174
102,BECE4,174
103,BEEF3,632
104,BEES3,380
105,BEES4,380
106,BEMA3,654
107,BEPA3,643
108,BEPA4,643
109,BESP3,603
110,BESP4,603
111,BEXC4,444
112,BFCV4,519
113,BFIT3,559
114,BFIT4,559
115,BGIP3,280
116,BGIP4,280
117,BGOS3,28
118,BGOS4,28
119,BHEQ3,746
120,BHEQ4,746
121,BHGR3,217
122,BHIA3,413
123,BHIA4,413
124,BICB3,179
125,BICB4,179
126,BIDI3,14
127,BIDI4,14
128,BIED3,473
129,BIED4,473
130,BIED5,473
131,BIOB3,322
132,BIOB4,322
133,BIOB5,322
134,BIOB6,322
135,BIOB7,322
136,BIOM3,147
137,BIOM4,147
138,BIOMM,147
139,BISA3,187
140,BLAU3,513
141,BLUT3,540
142,BLUT4,540
143,BMCT3,565
144,BMCT4,565
145,BMEB3,334
146,BMEB4,334
147,BMEF3,499
148,BMGB4,590
149,BMIN3,447
150,BMIN4,447
151,BMKS3,504
152,BMOB3,229
153,BMTO3,576
154,BMTO4,576
155,BNBR3,176
156,BNBR4,176
157,BNCA3,464
158,BOAS3,266
159,BOBR3,484
160,BOBR4,484
161,BOVH3,216
162,BPAC3,391
163,BPAC5,391
164,BPAN4,518
165,BPAR3,152
166,BPCO4,279
167,BPHA3,260
168,BPIA3,167
169,BPLA3,264
170,BPLA5,264
171,BRAP3,129
172,BRAP4,129
173,BRAV3,270
174,BRFS3,37
175,BRGE1,336
176,BRGE2,336
177,BRGE3,336
178,BRGE5,336
179,BRGE6,336
180,BRGE7,336
181,BRGE8,336
182,BRHA3,428
183,BRHA4,428
184,BRIT3,351
185,BRIV3,548
186,BRIV4,548
187,BRKM3,456
188,BRKM5,456
189,BRKM6,456
190,BRML3,170
191,BRPR3,171
192,BRSR3,724
193,BRSR4,724
194,BRSR5,724
195,BRSR6,724
196,BRST3,145
197,BRTP3,87
198,BRTP4,87
199,BSCT3,670
200,BSCT5,670
201,BSCT6,670
202,BSEG3,647
203,BSEG4,647
204,BSEV3,313
205,BSGR3,613
206,BSLI3,2
207,BSLI4,2
208,BUET3,665
209,BUET4,665
210,CAFE3,373
211,CAFE4,373
212,CAIAB,135
213,CALI3,561
214,CALI4,561
215,CAMB3,580
216,CAMB4,580
217,CAML3,627
218,CARB5,286
219,CARB6,286
220,CASH3,294
221,CASN3,655
222,CASN4,655
223,CBAG3,512
224,CBAV3,601
225,CBEE3,415
226,CBMA3,571
227,CBMA4,571
228,CCHI3,494
229,CCHI4,494
230,CCIM3,630
231,CCRO3,102
232,CCTU4,509
233,CCXC3,196
234,CDOU3,34
235,CDOU4,34
236,CEAB3,470
237,CEBR3,8
238,CEBR5,8
239,CEBR6,8
240,CECI3,435
241,CEDO3,339
242,CEDO4,339
243,CEDO5,339
244,CEDO6,339
245,CEEB3,305
246,CEEB5,305
247,CEED3,211
248,CEED4,211
249,CEEDB,211
250,CEGR3,445
251,CELM3,577
252,CEPE3,254
253,CEPE5,254
254,CEPE6,254
255,CESP3,558
256,CESP4,558
257,CESP5,558
258,CESP6,558
259,CETE3,19
260,CETE4,19
261,CEVA3,673
262,CEVA4,673
263,CFLU3,394
264,CFLU4,394
265,CGAS3,618
266,CGAS4,618
267,CGAS5,618
268,CGOS3,29
269,CGOS4,29
270,CGOS6,29
271,CGRA3,714
272,CGRA4,714
273,CHAP3,668
274,CHAP4,668
275,CIEL3,20
276,CIIT4,358
277,CIQU3,649
278,CIQU4,649
279,CLAN4,370
280,CLDX4,592
281,CLSA3,128
282,CLSC3,671
283,CLSC4,671
284,CLSC5,671
285,CLSC6,671
286,CMET4,396
287,CMIG3,325
288,CMIG4,325
289,CMIN3,225
290,CMMA4,397
291,CNFB3,554
292,CNFB4,554
293,COBEB,593
294,COCE3,172
295,COCE5,172
296,COCE6,172
297,COGN3,99
298,COGN4,99
299,COPA4,579
300,CORR3,301
301,CORR4,301
302,CPCA3,287
303,CPCA4,287
304,CPEE3,560
305,CPEE4,560
306,CPFE3,70
307,CPFG3,132
308,CPFG4,132
309,CPFL3,507
310,CPFL4,507
311,CPFP3,139
312,CPFP4,139
313,CPLE3,640
314,CPLE5,640
315,CPLE6,640
316,CPNY3,514
317,CPRE3,210
318,CPSL3,698
319,CPTPB,88
320,CRBM3,311
321,CRBM5,311
322,CRBM7,311
323,CREM3,661
324,CREM4,661
325,CRFB3,638
326,CRGT3,735
327,CRGT5,735
328,CRIV3,331
329,CRIV4,331
330,CRPG3,303
331,CRPG5,303
332,CRPG6,303
333,CRTP3,114
334,CRTP5,114
335,CRUZ3,404
336,CSAB3,308
337,CSAB4,308
338,CSAN3,485
339,CSED3,626
340,CSMB3,337
341,CSMG3,340
342,CSNA3,414
343,CSPC3,98
344,CSPC4,98
345,CSPP3,598
346,CSRN3,205
347,CSRN5,205
348,CSRN6,205
349,CSTB3,379
350,CSTB4,379
351,CSUD3,38
352,CTAN8,150
353,CTAP3,224
354,CTAX3,242
355,CTAX4,242
356,CTIP3,241
357,CTKA3,658
358,CTKA4,658
