id_data,data_pregao
1,2000-01-03
2,2000-01-04
3,2000-01-05
4,2000-01-06
5,2000-01-07
6,2000-01-10
7,2000-01-11
8,2000-01-12
9,2000-01-13
10,2000-01-14
11,2000-01-17
12,2000-01-18
13,2000-01-19
14,2000-01-20
15,2000-01-21
16,2000-01-24
17,2000-01-26
18,2000-01-27
19,2000-01-28
20,2000-01-31
21,2000-02-01
22,2000-02-02
23,2000-02-03
24,2000-02-04
25,2000-02-07
26,2000-02-08
27,2000-02-09
28,2000-02-10
29,2000-02-11
30,2000-02-14
31,2000-02-15
32,2000-02-16
33,2000-02-17
34,2000-02-18
35,2000-02-21
36,2000-02-22
37,2000-02-23
38,2000-02-24
39,2000-02-25
40,2000-02-28
41,2000-02-29
42,2000-03-01
43,2000-03-02
44,2000-03-03
45,2000-03-08
46,2000-03-09
47,2000-03-10
48,2000-03-13
49,2000-03-14
50,2000-03-15
51,2000-03-16
52,2000-03-17
53,2000-03-20
54,2000-03-21
55,2000-03-22
56,2000-03-23
57,2000-03-24
58,2000-03-27
59,2000-03-28
60,2000-03-29
61,2000-03-30
62,2000-03-31
63,2000-04-03
64,2000-04-04
65,2000-04-05
66,2000-04-06
67,2000-04-07
68,2000-04-10
69,2000-04-11
70,2000-04-12
71,2000-04-13
72,2000-04-14
73,2000-04-17
74,2000-04-18
75,2000-04-19
76,2000-04-20
77,2000-04-24
78,2000-04-25
79,2000-04-26
80,2000-04-27
81,2000-04-28
82,2000-05-02
83,2000-05-03
84,2000-05-04
85,2000-05-05
86,2000-05-08
87,2000-05-09
88,2000-05-10
89,2000-05-11
90,2000-05-12
91,2000-05-15
92,2000-05-16
93,2000-05-17
94,2000-05-18
95,2000-05-19
96,2000-05-22
97,2000-05-23
98,2000-05-24
99,2000-05-25
100,2000-05-26
101,2000-05-29
102,2000-05-30
103,2000-05-31
104,2000-06-01
105,2000-06-02
106,2000-06-05
107,2000-06-06
108,2000-06-07
109,2000-06-08
110,2000-06-09
111,2000-06-12
112,2000-06-13
113,2000-06-14
114,2000-06-15
115,2000-06-16
116,2000-06-19
117,2000-06-20
118,2000-06-21
119,2000-06-23
120,2000-06-26
121,2000-06-27
122,2000-06-28
123,2000-06-29
124,2000-06-30
125,2000-07-03
126,2000-07-04
127,2000-07-05
